surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
26,125,3057,4,6,14,2,3,4,0,0.0,0,0.0,2.8270531200927937,2.8270531200927937,513,6.217449668645344,12.434899337290688,0.0,2,1.0,0.0,Iن,1293,1,0.5,0.0,0.25,0.25,1.5,0.0
26,126,3058,3,8,17,3,3,3,0,0.0,0,0.0,2.659068877857313,2.41161970596323,129,6.7754812424257524,20.32644372727726,0.0,3,1.0,0.0,Uن,1751,1,0.3333333333333333,0.6666666666666666,0.0,0.0,2.6666666666666665,0.6666666666666666
26,127,3059,11,16,38,5,11,11,0,0.0,0,0.0,2.42002423353093,2.110589710299249,108,7.569570362345923,37.84785181172961,0.0,4,0.8,0.1,Iن,1293,1,0.36363636363636365,0.09090909090909091,0.0,0.5454545454545454,1.4545454545454546,0.0
26,128,3060,5,9,22,5,5,5,1,0.2,2,0.4,1.5448505063582039,2.2648178230095364,1,10.476834554548287,52.38417277274144,0.4,5,1.0,0.0,Uن,1751,1,0.6,0.4,0.0,0.0,1.8,0.0
26,129,3061,4,8,23,3,4,4,0,0.0,1,0.25,1.8922372984411187,1.9395192526186185,20,9.322840610135259,27.968521830405777,0.0,3,1.0,0.0,Uن,1751,1,0.25,0.5,0.0,0.25,2.0,0.3333333333333333
26,130,3062,4,7,20,3,4,4,0,0.0,0,0.0,1.0,1.0,10,12.286788759133211,36.860366277399635,0.0,2,0.6666666666666666,0.3333333333333333,Iن,1293,1,0.25,0.5,0.0,0.25,1.75,0.0
26,131,3063,3,8,17,3,3,3,0,0.0,0,0.0,2.659068877857313,2.41161970596323,129,6.7754812424257524,20.32644372727726,0.0,3,1.0,0.0,Uن,1751,1,0.3333333333333333,0.6666666666666666,0.0,0.0,2.6666666666666665,0.6666666666666666
26,132,3064,5,10,24,3,5,5,0,0.0,0,0.0,2.282742518324047,2.41161970596323,32,8.025610349005992,24.076831047017976,0.0,3,1.0,0.0,Uن,1751,1,0.0,0.6,0.4,0.0,2.0,0.6666666666666666
26,133,3065,3,6,15,3,3,3,0,0.0,0,0.0,1.9720319456692268,2.146128035678238,32,9.05776852968658,27.17330558905974,0.0,3,1.0,0.0,Iن,1293,1,0.6666666666666666,0.3333333333333333,0.0,0.0,2.0,0.3333333333333333
26,134,3066,2,4,9,2,2,2,0,0.0,0,0.0,2.058054707031672,2.058054707031672,65,8.77200710191688,17.54401420383376,0.0,2,1.0,0.0,Uن,1751,1,1.0,0.0,0.0,0.0,2.0,0.0
26,135,3067,6,8,23,4,6,6,0,0.0,0,0.0,2.344948877458365,2.339459400728278,124,7.818965296917048,31.27586118766819,0.0,4,1.0,0.0,Iم,551,1,0.5,0.16666666666666666,0.0,0.3333333333333333,1.3333333333333333,0.0
26,136,3068,9,14,35,5,9,9,0,0.0,1,0.1111111111111111,2.218801211418376,1.919078092376074,25,8.238018772839755,41.19009386419878,0.0,4,0.8,0.1,Iن,1293,1,0.2222222222222222,0.3333333333333333,0.0,0.4444444444444444,1.5555555555555556,0.0
26,137,3069,5,6,18,2,5,5,0,0.0,0,0.0,2.3235447143582775,2.3235447143582775,170,7.89006838766678,15.78013677533356,0.0,2,1.0,0.0,Iن,1293,1,0.4,0.0,0.2,0.4,1.2,0.0
26,138,3070,3,5,13,1,2,3,0,0.0,0,0.0,2.571708831808688,2.571708831808688,373,7.065685033765336,7.065685033765336,0.0,1,1.0,,Iن,1293,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0
26,139,3071,10,19,43,6,10,10,0,0.0,0,0.0,2.529090255068793,2.5161562356155347,68,7.207260881201705,43.24356528721023,0.0,6,1.0,0.0,Iن,1293,1,0.3,0.3,0.1,0.3,1.9,0.5
26,140,3072,5,10,21,3,4,5,0,0.0,0,0.0,2.5323242450960355,2.530199698203082,119,7.1965177988716205,21.58955339661486,0.0,3,1.0,0.0,Iم,551,1,0.6,0.0,0.2,0.2,2.0,0.0
26,141,3073,3,4,16,2,3,3,0,0.0,0,0.0,2.5801832367155884,2.5801832367155884,282,7.03753367001765,14.0750673400353,0.0,2,1.0,0.0,Iن,1293,1,0.6666666666666666,0.3333333333333333,0.0,0.0,1.3333333333333333,1.0
